age,annual_income,loan_amount,term_months,credit_score,employment_years,debt_to_income,num_credit_lines,past_delinquencies,loan_purpose,default
48,23734.0,500.0,36,607.0,7,2.11,6,0,car,0
36,48024.0,11526.0,36,549.0,0,24.0,5,0,home_improvement,0
35,71426.0,15882.0,48,688.0,4,22.24,7,0,debt_consolidation,0
67,37831.0,1629.0,60,632.0,1,4.31,2,1,home_improvement,0
71,53992.0,11303.0,36,654.0,1,20.93,2,0,debt_consolidation,0
64,29954.0,29485.0,48,664.0,0,98.43,3,0,car,0
72,48896.0,16770.0,60,704.0,2,34.3,5,1,debt_consolidation,0
23,70187.0,8513.0,60,716.0,2,12.13,5,0,home_improvement,0
57,58725.0,15346.0,48,667.0,4,26.13,3,0,debt_consolidation,0
71,13584.0,16005.0,36,722.0,7,117.82,1,0,small_business,0
27,56414.0,10520.0,36,639.0,2,18.65,5,0,car,0
41,57325.0,24269.0,36,662.0,9,42.34,1,0,debt_consolidation,0
29,48470.0,500.0,36,642.0,0,1.03,3,0,home_improvement,0
59,58350.0,20661.0,60,558.0,1,35.41,1,0,home_improvement,0
38,28330.0,8122.0,36,744.0,5,28.67,2,0,small_business,0
24,46265.0,27548.0,36,644.0,2,59.54,2,0,debt_consolidation,0
45,67203.0,500.0,36,752.0,2,0.74,5,0,home_improvement,0
34,65399.0,26263.0,48,673.0,2,40.16,3,1,car,0
70,55961.0,5529.0,48,670.0,0,9.88,4,2,debt_consolidation,0
29,27340.0,18864.0,48,707.0,0,69.0,8,0,debt_consolidation,0
46,24191.0,9420.0,60,661.0,0,38.94,2,0,debt_consolidation,0
73,47291.0,28527.0,36,597.0,1,60.32,6,0,debt_consolidation,0
22,48615.0,12707.0,36,631.0,0,26.14,3,0,car,0
40,42993.0,6323.0,60,722.0,0,14.71,5,0,other,0
48,28904.0,31789.0,60,691.0,3,109.98,8,0,debt_consolidation,0
67,53739.0,11638.0,36,581.0,0,21.66,3,0,home_improvement,0
27,47203.0,21261.0,36,662.0,2,45.04,7,1,debt_consolidation,0
64,50796.0,26269.0,60,572.0,0,51.71,5,0,debt_consolidation,0
28,56869.0,4446.0,36,647.0,1,7.82,5,0,home_improvement,0
67,39527.0,20063.0,36,711.0,8,50.76,7,0,debt_consolidation,0
55,35225.0,21686.0,60,598.0,0,61.56,5,0,other,0
34,67151.0,500.0,36,633.0,6,0.74,6,0,car,0
37,29853.0,18877.0,48,575.0,4,63.23,3,0,debt_consolidation,0
56,35617.0,10753.0,36,683.0,8,30.19,3,1,home_improvement,0
70,69685.0,34442.0,36,650.0,5,49.43,3,0,debt_consolidation,0
60,34060.0,25393.0,48,595.0,5,74.55,2,0,home_improvement,0
24,43028.0,20269.0,36,669.0,0,47.11,10,0,home_improvement,0
22,36761.0,500.0,48,638.0,5,1.36,4,0,other,0
26,9336.0,20340.0,36,675.0,2,217.87,3,0,home_improvement,0
74,42534.0,5868.0,36,575.0,1,13.8,3,0,debt_consolidation,0
62,24788.0,25482.0,36,617.0,1,102.8,4,0,car,0
24,50092.0,13081.0,60,650.0,0,26.11,6,0,debt_consolidation,0
74,67113.0,8771.0,36,688.0,3,13.07,3,0,home_improvement,0
49,8000.0,9761.0,36,572.0,4,122.01,3,1,home_improvement,0
38,36862.0,10557.0,36,648.0,1,28.64,3,0,small_business,0
46,54046.0,500.0,48,709.0,1,0.93,4,0,home_improvement,0
64,8000.0,500.0,36,644.0,0,6.25,2,0,car,0
54,71725.0,10974.0,60,618.0,1,15.3,2,0,debt_consolidation,0
30,52598.0,33662.0,72,602.0,0,64.0,6,1,other,0
56,66664.0,23574.0,36,604.0,1,35.36,4,0,debt_consolidation,0
34,33721.0,24648.0,36,656.0,3,73.09,1,2,small_business,0
51,36134.0,29367.0,60,501.0,2,81.27,7,1,car,0
68,41781.0,18373.0,36,602.0,0,43.97,3,0,debt_consolidation,0
35,87764.0,9520.0,60,669.0,5,10.85,2,0,car,0
28,71362.0,10068.0,36,692.0,1,14.11,4,1,debt_consolidation,0
34,47647.0,5091.0,36,574.0,3,10.68,4,1,small_business,0
43,50088.0,24732.0,72,596.0,1,49.38,5,0,debt_consolidation,0
60,57698.0,3765.0,36,645.0,3,6.53,4,0,home_improvement,0
41,92831.0,40084.0,36,683.0,0,43.18,3,0,debt_consolidation,0
36,52654.0,4165.0,48,614.0,3,7.91,7,1,debt_consolidation,0
65,45919.0,29675.0,60,631.0,3,64.62,2,1,debt_consolidation,0
38,38228.0,29740.0,36,664.0,2,77.8,8,0,car,0
67,49698.0,22492.0,60,559.0,1,45.26,5,0,other,0
73,33260.0,34447.0,48,754.0,2,103.57,8,1,debt_consolidation,0
44,54922.0,12645.0,72,646.0,7,23.02,6,0,home_improvement,0
46,16348.0,16539.0,48,615.0,0,101.17,9,1,car,0
45,39790.0,17693.0,48,720.0,4,44.47,4,0,car,0
65,59693.0,22081.0,60,649.0,0,36.99,7,0,home_improvement,0
61,52382.0,500.0,36,628.0,1,0.95,4,0,debt_consolidation,0
49,35748.0,13726.0,60,666.0,3,38.4,1,1,home_improvement,0
35,40360.0,25299.0,36,643.0,2,62.68,3,1,debt_consolidation,0
65,65707.0,10537.0,36,597.0,3,16.04,4,0,home_improvement,0
21,20792.0,38515.0,48,715.0,10,185.24,6,1,car,0
45,20908.0,16536.0,36,535.0,10,79.09,1,0,home_improvement,0
27,26407.0,21174.0,60,612.0,7,80.18,8,0,debt_consolidation,0
29,44786.0,33612.0,60,770.0,2,75.05,3,0,home_improvement,0
44,17865.0,16553.0,36,647.0,1,92.66,3,1,debt_consolidation,0
21,64060.0,33416.0,36,529.0,1,52.16,3,0,other,0
64,26514.0,21998.0,48,719.0,3,82.97,3,0,home_improvement,0
28,49487.0,22021.0,60,620.0,2,44.5,5,0,car,0
44,33419.0,4330.0,60,566.0,16,12.96,2,0,home_improvement,0
31,43690.0,28278.0,36,714.0,2,64.72,5,0,other,0
71,12933.0,7723.0,72,717.0,1,59.72,2,1,car,0
37,65026.0,12763.0,36,740.0,3,19.63,4,0,car,0
28,25770.0,30110.0,36,572.0,0,116.84,5,0,debt_consolidation,0
55,23676.0,10599.0,36,630.0,0,44.77,3,1,small_business,0
55,92580.0,19173.0,36,620.0,3,20.71,3,0,home_improvement,0
53,56086.0,14354.0,48,575.0,0,25.59,4,0,home_improvement,0
25,64248.0,14772.0,48,680.0,4,22.99,5,0,home_improvement,0
62,54178.0,13206.0,60,717.0,0,24.38,6,0,car,0
59,35950.0,2566.0,48,608.0,3,7.14,4,0,debt_consolidation,0
61,18863.0,21542.0,36,651.0,3,114.2,3,0,home_improvement,0
48,39024.0,22609.0,48,650.0,5,57.94,3,1,small_business,0
27,25437.0,8016.0,36,716.0,7,31.51,5,1,debt_consolidation,0
29,26638.0,9693.0,48,641.0,1,36.39,7,1,debt_consolidation,0
28,13336.0,25956.0,36,642.0,4,194.63,6,1,debt_consolidation,0
32,47290.0,11835.0,36,704.0,0,25.03,3,1,home_improvement,0
54,76468.0,16111.0,36,649.0,5,21.07,7,0,debt_consolidation,0
53,56163.0,4421.0,60,600.0,7,7.87,2,1,car,0
68,42884.0,14238.0,48,563.0,4,33.2,5,0,car,0
43,44189.0,4486.0,60,597.0,1,10.15,7,0,small_business,0
44,8000.0,7740.0,36,657.0,0,96.75,2,3,debt_consolidation,0
57,36523.0,5830.0,72,549.0,2,15.96,4,0,car,0
55,16466.0,25359.0,36,659.0,1,154.01,4,2,home_improvement,0
64,47688.0,500.0,60,534.0,2,1.05,4,0,debt_consolidation,0
60,39800.0,18200.0,36,570.0,2,45.73,8,0,debt_consolidation,0
42,27614.0,12323.0,36,686.0,0,44.63,2,1,home_improvement,0
47,47238.0,31755.0,60,609.0,5,67.22,4,0,debt_consolidation,0
55,47066.0,24354.0,60,656.0,6,51.74,4,0,debt_consolidation,0
21,75372.0,500.0,60,636.0,5,0.66,8,0,small_business,0
55,58728.0,8274.0,36,749.0,1,14.09,6,0,home_improvement,0
57,49339.0,14833.0,48,650.0,2,30.06,5,0,debt_consolidation,0
67,26050.0,8271.0,36,568.0,1,31.75,3,0,car,0
34,23531.0,25899.0,36,683.0,3,110.06,4,0,car,0
23,56977.0,17039.0,60,566.0,5,29.91,4,0,debt_consolidation,0
21,40999.0,12680.0,48,709.0,3,30.93,5,0,other,0
25,49987.0,26771.0,72,696.0,2,53.56,5,0,car,0
46,64560.0,872.0,36,661.0,4,1.35,6,0,debt_consolidation,0
34,14737.0,11814.0,72,693.0,0,80.17,6,0,small_business,0
59,72941.0,17976.0,48,722.0,1,24.64,3,0,small_business,0
47,64388.0,13304.0,48,638.0,1,20.66,1,1,home_improvement,0
29,8000.0,500.0,36,652.0,2,6.25,1,1,debt_consolidation,0
35,92062.0,19068.0,60,657.0,11,20.71,10,0,home_improvement,0
35,51428.0,21033.0,60,589.0,6,40.9,7,0,home_improvement,0
46,35429.0,2849.0,36,600.0,1,8.04,3,1,debt_consolidation,0
62,55381.0,500.0,48,644.0,1,0.9,1,0,debt_consolidation,0
33,25451.0,6867.0,36,640.0,2,26.98,5,0,car,0
71,55923.0,12558.0,48,658.0,11,22.46,4,1,home_improvement,0
52,29130.0,13674.0,72,605.0,0,46.94,3,1,debt_consolidation,0
59,85407.0,500.0,36,537.0,9,0.59,2,0,debt_consolidation,0
69,46202.0,17439.0,48,743.0,1,37.75,3,1,car,0
72,57996.0,27347.0,36,542.0,7,47.15,5,1,debt_consolidation,0
52,29279.0,26482.0,48,697.0,5,90.45,7,1,debt_consolidation,0
24,61330.0,29662.0,60,619.0,6,48.36,3,1,car,0
50,44748.0,500.0,36,654.0,7,1.12,5,1,debt_consolidation,0
57,16763.0,25549.0,36,686.0,1,152.41,2,1,car,1
43,40225.0,3794.0,60,608.0,5,9.43,4,0,car,0
59,83622.0,24471.0,48,544.0,3,29.26,3,0,other,0
65,62180.0,6152.0,36,710.0,6,9.89,6,1,home_improvement,0
35,37420.0,19224.0,36,687.0,2,51.37,5,0,car,0
63,8000.0,33422.0,36,645.0,2,417.78,3,0,debt_consolidation,1
49,28350.0,26195.0,36,698.0,4,92.4,5,0,home_improvement,0
56,16871.0,3933.0,48,663.0,1,23.31,3,1,debt_consolidation,0
33,8100.0,1333.0,36,636.0,5,16.46,4,0,home_improvement,0
52,60712.0,24316.0,48,626.0,1,40.05,5,0,small_business,0
27,46248.0,30834.0,36,490.0,0,66.67,3,0,debt_consolidation,0
71,80902.0,20158.0,36,659.0,2,24.92,1,2,home_improvement,0
42,25047.0,8866.0,36,569.0,5,35.4,5,0,debt_consolidation,0
48,44954.0,15502.0,48,671.0,4,34.48,6,0,debt_consolidation,0
22,17117.0,20189.0,36,620.0,14,117.95,5,0,debt_consolidation,0
62,33103.0,13925.0,72,519.0,0,42.07,4,0,debt_consolidation,0
65,40558.0,3945.0,36,636.0,1,9.73,4,0,debt_consolidation,0
73,37507.0,27765.0,36,609.0,1,74.03,3,0,debt_consolidation,0
26,46071.0,37539.0,36,736.0,0,81.48,5,0,car,0
48,64432.0,32119.0,36,500.0,0,49.85,6,0,debt_consolidation,0
48,62328.0,500.0,60,582.0,0,0.8,2,1,debt_consolidation,0
64,29613.0,28872.0,60,558.0,2,97.5,3,1,debt_consolidation,0
64,44393.0,21938.0,36,695.0,6,49.42,5,0,debt_consolidation,0
40,60882.0,7113.0,48,655.0,4,11.68,3,0,home_improvement,0
50,65715.0,500.0,48,692.0,2,0.76,4,0,debt_consolidation,0
31,31777.0,13636.0,72,562.0,1,42.91,6,0,small_business,0
48,59163.0,19364.0,36,573.0,0,32.73,3,0,debt_consolidation,0
45,51623.0,1718.0,36,644.0,1,3.33,7,1,debt_consolidation,0
59,23680.0,29787.0,48,761.0,1,125.79,7,2,other,0
53,61003.0,29496.0,36,678.0,1,48.35,2,0,small_business,0
21,48031.0,20615.0,60,579.0,1,42.92,4,1,debt_consolidation,0
47,10172.0,500.0,60,655.0,18,4.92,0,1,debt_consolidation,0
72,39123.0,11855.0,36,682.0,2,30.3,4,0,home_improvement,0
33,45797.0,23684.0,60,545.0,1,51.72,1,0,car,0
61,32884.0,22893.0,60,622.0,2,69.62,1,0,other,0
23,69565.0,6612.0,60,627.0,1,9.5,5,0,car,0
59,70289.0,8371.0,60,766.0,1,11.91,4,0,home_improvement,0
26,37350.0,6302.0,48,647.0,0,16.87,5,0,debt_consolidation,0
28,35155.0,11605.0,36,756.0,0,33.01,4,0,debt_consolidation,0
47,42375.0,9160.0,60,588.0,2,21.62,3,0,small_business,0
29,40998.0,6973.0,36,678.0,2,17.01,4,1,debt_consolidation,0
57,33150.0,13349.0,36,543.0,1,40.27,6,1,debt_consolidation,0
53,8000.0,15480.0,36,683.0,5,193.5,7,0,car,0
71,80096.0,28045.0,48,613.0,1,35.01,7,0,debt_consolidation,0
62,45008.0,500.0,36,617.0,4,1.11,9,0,debt_consolidation,0
64,41434.0,29631.0,60,690.0,1,71.51,5,1,debt_consolidation,0
44,51503.0,6032.0,48,697.0,1,11.71,5,0,debt_consolidation,0
35,43399.0,37326.0,36,661.0,1,86.01,6,1,car,0
74,36394.0,23078.0,36,767.0,1,63.41,1,1,debt_consolidation,0
52,24887.0,21568.0,36,645.0,9,86.66,3,0,debt_consolidation,0
52,8228.0,13752.0,36,663.0,1,167.14,4,0,debt_consolidation,0
44,17912.0,39756.0,36,659.0,2,221.95,4,0,debt_consolidation,0
61,22667.0,14633.0,36,689.0,4,64.56,5,0,car,1
72,58018.0,33140.0,60,642.0,1,57.12,3,0,debt_consolidation,0
69,59492.0,8106.0,48,568.0,0,13.63,1,0,debt_consolidation,0
69,27364.0,23599.0,48,667.0,4,86.24,1,0,debt_consolidation,0
72,8000.0,37778.0,36,533.0,1,472.22,3,0,other,1
32,45182.0,4824.0,36,700.0,6,10.68,3,0,debt_consolidation,0
59,36569.0,20895.0,48,722.0,2,57.14,2,0,home_improvement,0
22,36075.0,6524.0,48,606.0,3,18.08,1,0,debt_consolidation,0
23,64119.0,20156.0,36,604.0,9,31.44,9,0,car,0
69,47773.0,37728.0,36,503.0,6,78.97,3,0,debt_consolidation,0
57,25472.0,3799.0,60,636.0,5,14.91,3,0,debt_consolidation,0
69,20872.0,16872.0,36,667.0,2,80.84,5,0,debt_consolidation,0
37,39748.0,4986.0,36,663.0,1,12.54,3,1,other,0
69,26872.0,13449.0,36,659.0,6,50.05,7,1,other,0
22,43552.0,22455.0,60,622.0,0,51.56,7,0,debt_consolidation,0
22,65523.0,11422.0,60,704.0,7,17.43,7,0,debt_consolidation,0
48,17404.0,33887.0,36,572.0,4,194.71,3,3,home_improvement,0
74,46756.0,20800.0,36,574.0,5,44.49,4,1,home_improvement,0
43,63301.0,500.0,36,546.0,1,0.79,7,1,car,0
57,43276.0,18838.0,36,594.0,0,43.53,2,1,small_business,0
52,59432.0,32533.0,36,560.0,4,54.74,3,0,debt_consolidation,0
53,39255.0,21509.0,36,480.0,11,54.79,5,1,debt_consolidation,0
21,48417.0,18129.0,36,589.0,6,37.44,2,0,debt_consolidation,0
39,53816.0,11430.0,60,697.0,6,21.24,5,0,debt_consolidation,0
22,33560.0,13836.0,48,660.0,3,41.23,9,0,home_improvement,0
73,84814.0,15130.0,60,684.0,0,17.84,2,1,debt_consolidation,0
64,56552.0,500.0,48,677.0,6,0.88,5,0,car,0
46,71060.0,20564.0,72,617.0,1,28.94,3,1,home_improvement,0
52,66420.0,26960.0,72,624.0,1,40.59,11,0,car,0
26,51546.0,6025.0,36,590.0,4,11.69,4,1,home_improvement,0
52,72716.0,17790.0,36,657.0,4,24.47,4,0,other,0
24,48758.0,19243.0,60,840.0,0,39.47,3,1,home_improvement,0
31,30404.0,24724.0,60,549.0,1,81.32,3,1,car,0
37,45296.0,15148.0,60,710.0,5,33.44,2,0,small_business,0
58,24877.0,21476.0,48,603.0,9,86.33,2,0,home_improvement,0
44,8000.0,1061.0,36,742.0,1,13.26,5,0,debt_consolidation,0
25,27949.0,2829.0,36,666.0,4,10.12,1,0,debt_consolidation,0
72,46458.0,20174.0,36,600.0,2,43.42,5,0,car,0
54,66238.0,12245.0,60,623.0,1,18.49,5,1,small_business,0
26,27890.0,500.0,72,690.0,7,1.79,3,0,debt_consolidation,0
42,65203.0,19170.0,36,758.0,2,29.4,4,0,debt_consolidation,0
31,20786.0,500.0,48,696.0,4,2.41,4,0,debt_consolidation,0
68,26610.0,47431.0,48,609.0,3,178.25,6,1,debt_consolidation,0
36,73983.0,500.0,36,674.0,3,0.68,3,0,car,0
53,45952.0,15632.0,60,752.0,2,34.02,7,0,debt_consolidation,0
29,41528.0,1606.0,48,673.0,2,3.87,8,0,debt_consolidation,0
26,49706.0,25990.0,36,631.0,6,52.29,3,0,other,0
36,20872.0,10165.0,36,541.0,1,48.7,6,1,debt_consolidation,0
49,38383.0,27154.0,36,726.0,4,70.74,2,0,debt_consolidation,0
23,45053.0,24208.0,36,631.0,1,53.73,5,0,home_improvement,0
40,69628.0,2187.0,36,590.0,0,3.14,8,0,other,0
56,11592.0,6272.0,36,691.0,7,54.11,4,0,debt_consolidation,0
39,80260.0,10866.0,48,694.0,2,13.54,6,0,car,0
46,42507.0,14190.0,48,575.0,3,33.38,5,1,debt_consolidation,0
23,22789.0,12643.0,48,587.0,4,55.48,3,0,home_improvement,0
39,19167.0,23737.0,60,679.0,5,123.84,3,0,home_improvement,0
40,50463.0,17807.0,60,725.0,1,35.29,4,0,debt_consolidation,0
52,18056.0,7648.0,60,617.0,3,42.36,2,0,home_improvement,0
27,33798.0,4051.0,36,626.0,4,11.99,6,0,home_improvement,0
72,40002.0,5209.0,36,592.0,0,13.02,5,0,home_improvement,0
61,67874.0,18960.0,36,726.0,0,27.93,5,0,debt_consolidation,0
53,65369.0,12683.0,48,686.0,1,19.4,3,0,home_improvement,0
60,32140.0,39964.0,60,562.0,1,124.34,5,0,debt_consolidation,0
59,40746.0,14997.0,48,756.0,5,36.81,5,0,debt_consolidation,0
38,13092.0,17265.0,48,850.0,3,131.87,1,0,debt_consolidation,0
60,8000.0,500.0,48,514.0,2,6.25,4,1,other,0
21,20419.0,500.0,48,664.0,0,2.45,6,0,car,0
31,67462.0,1543.0,72,532.0,0,2.29,6,0,car,0
48,60602.0,8604.0,60,619.0,2,14.2,6,0,car,0
45,52669.0,500.0,60,537.0,6,0.95,6,2,car,0
70,15848.0,1141.0,48,743.0,4,7.2,1,0,small_business,0
43,30767.0,22979.0,36,614.0,6,74.69,7,0,debt_consolidation,0
51,27844.0,4682.0,36,711.0,2,16.82,6,0,debt_consolidation,0
50,41680.0,14508.0,36,652.0,1,34.81,1,0,debt_consolidation,0
62,40419.0,22106.0,36,759.0,0,54.69,3,0,small_business,0
55,24961.0,26359.0,72,555.0,8,105.6,4,1,debt_consolidation,0
27,51984.0,18510.0,36,486.0,2,35.61,3,0,car,0
36,49579.0,19233.0,36,599.0,6,38.79,1,1,debt_consolidation,0
46,30424.0,26727.0,36,614.0,4,87.85,5,1,other,0
68,51086.0,19971.0,36,529.0,5,39.09,2,0,car,0
72,67486.0,27425.0,60,670.0,1,40.64,5,0,debt_consolidation,0
69,73561.0,500.0,36,667.0,3,0.68,2,0,small_business,0
22,54813.0,13996.0,72,733.0,4,25.53,5,0,home_improvement,0
21,54225.0,15668.0,36,712.0,2,28.89,1,0,debt_consolidation,0
68,40197.0,13585.0,72,605.0,5,33.8,5,0,home_improvement,0
32,65594.0,16478.0,48,559.0,13,25.12,4,0,home_improvement,0
25,23593.0,10100.0,48,520.0,0,42.81,4,0,debt_consolidation,0
57,63277.0,24468.0,36,626.0,2,38.67,6,0,debt_consolidation,0
52,39248.0,8573.0,48,625.0,4,21.84,5,2,small_business,0
29,74819.0,12387.0,48,667.0,4,16.56,7,0,debt_consolidation,0
61,56764.0,32328.0,36,526.0,2,56.95,8,0,small_business,0
55,43643.0,30653.0,36,650.0,6,70.24,5,0,car,0
39,40270.0,16892.0,72,677.0,3,41.95,1,0,debt_consolidation,0
68,55512.0,7357.0,36,595.0,2,13.25,2,1,car,0
36,54542.0,500.0,60,679.0,1,0.92,5,1,debt_consolidation,0
23,37033.0,13424.0,48,623.0,1,36.25,1,1,debt_consolidation,0
40,46837.0,21098.0,36,723.0,14,45.05,4,0,debt_consolidation,0
44,62928.0,6346.0,36,740.0,7,10.08,2,0,debt_consolidation,0
74,17733.0,15071.0,72,642.0,4,84.99,3,1,small_business,0
53,59518.0,10819.0,48,700.0,6,18.18,0,1,car,0
44,55424.0,500.0,36,545.0,0,0.9,3,2,debt_consolidation,0
72,68733.0,16406.0,48,607.0,1,23.87,4,0,debt_consolidation,0
31,30687.0,20221.0,36,666.0,6,65.89,2,0,other,0
69,45114.0,16913.0,60,609.0,2,37.49,6,0,small_business,0
28,49101.0,34350.0,36,621.0,3,69.96,7,0,other,0
56,59776.0,11138.0,36,572.0,6,18.63,4,0,debt_consolidation,0
58,53582.0,10184.0,36,761.0,2,19.01,3,0,home_improvement,0
60,20209.0,40998.0,36,573.0,2,202.87,3,0,debt_consolidation,0
40,50821.0,500.0,48,694.0,0,0.98,7,0,debt_consolidation,0
55,85085.0,7562.0,48,605.0,14,8.89,1,1,car,0
68,57235.0,19332.0,60,683.0,11,33.78,3,0,debt_consolidation,0
45,77761.0,28503.0,48,596.0,1,36.65,3,0,small_business,0
55,65861.0,26218.0,36,615.0,6,39.81,4,1,debt_consolidation,0
45,72248.0,2521.0,48,668.0,4,3.49,3,1,debt_consolidation,0
49,51199.0,34532.0,60,682.0,0,67.45,4,1,debt_consolidation,0
38,55437.0,20569.0,36,701.0,0,37.1,6,0,home_improvement,0
66,50110.0,5168.0,36,642.0,0,10.31,5,0,car,0
38,45087.0,6178.0,48,715.0,0,13.7,4,1,other,0
22,59844.0,15859.0,36,656.0,3,26.5,5,0,debt_consolidation,0
74,34580.0,40828.0,36,629.0,2,118.07,5,0,car,0
55,82708.0,17549.0,60,699.0,17,21.22,6,0,debt_consolidation,0
36,26440.0,40718.0,60,648.0,1,154.0,8,1,debt_consolidation,1
61,61228.0,25537.0,48,657.0,4,41.71,2,0,debt_consolidation,0
56,72573.0,500.0,60,571.0,1,0.69,0,0,home_improvement,0
53,41468.0,31890.0,36,595.0,0,76.9,2,0,debt_consolidation,0
24,22740.0,3670.0,48,669.0,6,16.14,5,0,home_improvement,0
53,68111.0,7619.0,48,578.0,2,11.19,6,0,debt_consolidation,0
34,49068.0,18309.0,36,642.0,7,37.31,3,1,car,0
41,61266.0,14659.0,36,507.0,8,23.93,4,0,home_improvement,0
68,42811.0,25721.0,48,773.0,5,60.08,7,0,other,0
40,79638.0,21021.0,60,687.0,0,26.4,6,0,debt_consolidation,0
28,8000.0,13585.0,48,609.0,10,169.81,0,1,debt_consolidation,0
27,52524.0,35387.0,36,746.0,0,67.37,3,0,debt_consolidation,0
23,71835.0,9306.0,36,578.0,8,12.95,3,0,other,0
37,47107.0,3000.0,36,601.0,3,6.37,8,0,home_improvement,0
53,51047.0,20560.0,36,676.0,1,40.28,5,0,home_improvement,0
68,36320.0,14782.0,60,705.0,4,40.7,6,0,other,0
32,45414.0,17945.0,48,600.0,2,39.51,3,0,other,0
71,11563.0,23858.0,48,672.0,5,206.33,5,0,other,0
42,30631.0,12779.0,60,664.0,2,41.72,8,1,home_improvement,0
42,29265.0,37303.0,36,638.0,1,127.47,3,2,car,0
66,58382.0,18180.0,48,602.0,1,31.14,5,1,debt_consolidation,0
50,33573.0,9595.0,36,699.0,1,28.58,2,0,small_business,0
58,34150.0,22075.0,36,499.0,2,64.64,3,0,small_business,0
58,37442.0,13974.0,36,650.0,0,37.32,2,0,home_improvement,0
65,30027.0,16360.0,72,592.0,3,54.48,2,0,debt_consolidation,0
71,50380.0,1726.0,36,631.0,1,3.43,4,0,debt_consolidation,0
74,52553.0,3086.0,36,591.0,2,5.87,2,0,other,0
28,61500.0,27739.0,48,556.0,2,45.1,4,2,car,0
47,58055.0,500.0,36,595.0,6,0.86,4,0,debt_consolidation,0
47,56055.0,13531.0,36,601.0,6,24.14,1,0,other,0
54,38421.0,18910.0,60,624.0,14,49.22,4,2,debt_consolidation,0
41,37138.0,31956.0,36,639.0,1,86.05,5,0,debt_consolidation,0
50,27576.0,9225.0,60,684.0,0,33.45,6,0,debt_consolidation,0
53,27215.0,24107.0,48,744.0,2,88.58,5,0,small_business,0
48,48885.0,13554.0,36,645.0,7,27.73,3,0,debt_consolidation,0
67,30612.0,500.0,36,567.0,3,1.63,4,1,debt_consolidation,0
53,74366.0,15553.0,48,694.0,1,20.91,2,0,car,0
25,44250.0,14197.0,36,659.0,4,32.08,1,0,debt_consolidation,0
68,75028.0,20101.0,48,570.0,4,26.79,3,0,other,0
39,56435.0,7288.0,60,645.0,4,12.91,7,0,debt_consolidation,0
24,29455.0,8568.0,60,687.0,2,29.09,6,0,debt_consolidation,0
55,43759.0,29413.0,48,581.0,2,67.22,2,0,debt_consolidation,0
69,11531.0,10966.0,60,600.0,2,95.1,1,0,debt_consolidation,0
37,48809.0,500.0,36,645.0,2,1.02,4,0,debt_consolidation,0
64,31285.0,20885.0,36,620.0,1,66.76,5,0,other,0
48,22731.0,25351.0,60,532.0,1,111.53,1,0,small_business,0
